Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
156,210,174,17,407577
157,122,50,12,130565
158,66,38,14,102050
159,177,86,15,214344
160,20,11,11,29719
161,31,9,9,25458
162,162,70,15,181177
163,26,5,6,15326
164,63,18,8,49391
165,155,101,18,252382
166,33,20,8,49680
167,1,0,1,65
168,238,88,13,211591
169,2,0,1,129
170,201,81,14,203505
171,144,62,18,152006
172,70,34,12,80743
173,216,269,30,620558
174,239,126,16,315966
175,189,276,28,624682
176,203,102,13,259900
177,86,28,11,74993
178,148,54,13,138832
179,150,228,32,517403
180,132,51,15,127859
181,193,99,19,241930
182,84,46,13,119861
183,114,34,11,91454
184,91,29,10,77087
185,180,293,27,677430
186,105,47,14,124489
187,146,56,13,142960
188,239,103,15,260669
189,96,59,12,142765
190,48,11,6,31875
191,104,58,14,150221
192,45,10,7,26953
193,134,59,15,159463
194,49,22,11,63733
195,187,109,17,263310
196,1,0,1,65
197,173,74,13,181270
198,121,46,13,124504
199,102,170,24,390953
200,40,10,10,31027
201,207,247,30,574206
202,65,34,13,79782
203,29,9,9,23006
204,100,102,27,250539
205,167,68,15,174083
206,116,41,11,104846
207,244,151,18,363916
208,102,41,17,108171
209,50,12,8,29978
210,35,12,12,34757
211,162,73,17,183013
212,30,9,11,23565
213,85,31,14,85017
214,131,61,13,161455
215,110,95,18,234834
216,149,58,11,146227
217,237,157,15,371920
218,215,116,18,287738
219,102,31,10,81642
220,100,30,11,80367
221,81,29,14,78986
222,125,40,10,104740
223,85,24,11,64005
224,165,65,14,161080
225,200,145,19,354274
226,199,282,33,654120
227,225,115,13,281570
228,109,38,12,98390
229,101,37,9,91986
230,131,60,11,148689
231,42,18,9,48322
232,63,22,10,55983
233,35,15,11,41201
234,10,1,5,4273
235,98,34,13,88306
236,24,9,9,21713
237,144,174,26,405015
238,107,45,14,114193
239,103,94,15,233557
240,228,389,33,868926
241,28,5,7,16720
242,12,3,7,6885
243,130,66,15,169085
244,39,27,11,65412
245,216,89,13,215662
246,192,88,13,215469
247,58,15,11,40760
248,224,124,17,293041
249,182,75,15,191794
250,92,52,13,133520
251,94,25,11,64289
252,40,13,11,36192
253,26,6,6,15320
254,201,82,15,207064
255,144,54,15,138161
256,198,88,13,217969
257,203,303,33,684675
258,201,76,11,189159
259,194,125,14,309014
260,231,467,25,1041586
261,147,97,16,242247
262,196,312,26,705409
263,1,0,1,65
264,93,32,15,86257
265,181,75,12,190169
266,60,35,17,95824
267,138,42,11,111380
268,22,3,6,11047
269,182,190,24,457154
270,166,59,13,146812
271,12,2,5,5575
272,184,64,13,160562
273,23,6,8,16842
274,81,29,11,78103
275,146,57,15,148977
276,233,101,14,248111
277,177,228,20,492767
278,1,0,1,65
279,160,327,24,709692
280,48,14,11,40007
281,46,8,10,25065
282,69,16,7,48091
283,206,178,22,428812
284,226,156,18,384723
285,83,28,11,72365
286,182,151,20,357250
287,93,30,10,81457
288,164,66,12,167075
289,97,41,14,107676
290,231,149,14,356975
291,23,9,10,23747
292,185,111,21,261118
293,138,84,16,212268
294,1,0,1,65
295,67,39,16,102630
296,171,79,16,198243
297,22,4,7,11364
298,36,16,9,44363
299,237,166,22,399620
300,241,141,15,335897
301,106,37,12,101016
302,1,0,1,65
303,205,80,15,197135
304,183,339,31,752638
305,93,33,11,87354
306,205,156,18,384495
307,171,188,24,435765
308,70,32,14,87703
309,159,69,13,172664
310,103,39,13,98238
311,59,22,11,59912
312,229,114,17,286241
313,174,71,13,174472
314,44,11,9,28786
315,173,209,29,498444
316,81,29,11,77446
317,15,3,5,7187
318,153,133,21,342323
319,170,66,14,162616
320,241,104,14,256642
321,147,64,15,162903
322,165,94,16,242200
323,155,75,15,182470
324,120,47,15,127135
325,26,5,7,14709
326,191,78,15,196525
327,203,115,16,276837
328,97,30,12,79122
329,70,23,8,64846
330,218,159,18,370309
331,188,87,15,211026
332,148,82,19,209438
333,64,44,13,111638
334,53,14,10,40246
335,39,13,10,37656
336,141,53,13,133666
337,18,3,7,8024
338,162,67,15,171053
339,143,89,17,224144
340,59,25,12,66160
341,1,1,1,65
342,100,32,12,85493
343,150,68,20,175100
344,92,31,12,85727
345,157,116,16,273698
346,43,22,12,61698
347,44,22,8,53849
348,67,21,11,56848
349,40,22,14,62446
350,173,217,25,513339
351,222,129,12,320885
352,232,104,12,248332
353,104,77,18,189527
354,10,1,5,4118
355,94,49,16,131317
356,58,38,14,100496
357,147,60,13,156640
358,190,296,23,681702
359,125,51,8,130591
360,108,38,10,98980
361,63,14,8,38676
362,31,7,7,21677
363,102,32,10,87544
364,28,9,11,24184
365,42,10,8,28914
366,86,38,14,101415
367,224,254,23,617541
368,150,85,14,216267
369,66,20,9,55832
370,46,13,11,36273
371,93,26,16,72610
372,97,53,16,140718
373,197,364,26,794226
374,204,105,15,265865
375,47,7,7,22032
376,62,36,16,97520
377,32,8,8,24274
378,186,75,15,190448
379,1,0,1,65
380,70,28,11,70153
381,234,101,12,235898
382,170,165,17,387348
383,103,42,13,113893
384,223,93,13,235462
385,141,114,21,283709
386,124,144,27,342530
387,108,37,10,104109
388,107,79,17,195887
389,84,32,14,86678
390,11,2,5,6190
391,128,132,24,325822
392,221,92,15,234084
393,48,21,13,56340
394,222,113,12,274578
395,106,31,8,83505
396,124,48,11,124422
397,5,1,3,1349
398,150,60,14,157206
399,16,4,6,9994
400,173,63,9,163176
401,94,35,13,88134
402,179,84,11,206510
403,46,14,13,36430
404,116,52,11,132892
405,219,197,21,477521
406,127,43,12,111697
407,213,87,12,211793
408,79,34,14,84571
409,134,68,12,170210
410,33,16,13,39661
411,84,45,13,116329
412,224,93,12,227869
413,165,60,12,154395
414,31,6,8,17348
415,187,154,19,374850
416,103,63,15,151226
417,16,3,8,8266
418,117,94,18,228433
419,136,49,10,130085
420,146,65,13,167894
421,228,122,13,304260
422,172,131,19,336237
423,176,73,17,184680
424,118,52,16,139600
425,174,110,15,271487
426,21,3,6,8764
427,1,0,1,65
428,43,11,9,32778
429,56,14,7,37724
430,174,65,12,164667
431,71,33,18,86972
432,88,25,9,65571
433,200,68,10,168880
434,99,75,15,181668
435,57,17,10,45784
436,215,103,13,253378
437,144,72,16,179076
438,1,0,1,65
439,219,107,14,267581
440,116,67,18,176718
441,56,17,11,49105
442,90,109,24,252723
443,209,193,22,460999
444,250,125,17,300107
445,71,35,14,96503
446,175,63,10,149628
447,47,10,8,29390
448,88,22,8,58814
449,220,81,12,200238
450,103,32,10,86025
451,81,74,13,175053
452,107,69,17,174525
453,166,116,20,286938
454,239,115,12,280120
455,22,6,5,15932
456,1,0,1,65
457,151,59,10,150534
458,154,68,10,174838
459,152,62,11,161225
460,147,53,11,136399
461,232,110,15,270146
