Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
2406,196,132,23,327813
2407,49,13,11,36820
2408,17,5,11,14412
2409,120,44,15,105585
2410,90,92,39,214765
2411,148,51,14,131776
2412,199,778,94,1499293
2413,34,11,17,31521
2414,9,1,7,4604
2415,1,0,1,65
2416,81,29,15,79638
2417,105,70,25,185787
2418,164,117,36,292346
2419,234,431,60,986773
2420,79,79,26,187320
2421,197,77,17,195838
2422,56,18,16,50012
2423,184,230,40,573078
2424,231,77,14,187089
2425,115,35,12,95068
2426,101,38,15,98871
2427,141,96,28,250498
2428,208,86,16,213810
2429,148,60,17,158112
2430,165,105,26,250555
2431,53,30,21,75811
2432,191,93,18,234148
2433,135,45,16,117555
2434,21,3,8,7829
2435,191,73,15,177321
2436,178,73,16,182180
2437,20,6,14,17031
2438,79,20,12,55560
2439,203,162,29,390817
2440,184,151,33,376789
2441,64,28,19,78805
2442,126,45,13,119385
2443,192,84,17,208281
2444,81,45,19,120384
2445,91,30,13,75919
2446,64,23,13,61785
2447,222,98,16,238245
2448,27,8,13,23493
2449,117,48,16,125180
2450,103,118,41,291868
2451,174,72,15,183783
2452,199,376,56,887228
2453,46,10,13,27937
2454,21,4,8,11986
2455,30,5,10,15464
2456,114,77,35,193628
2457,33,12,17,36200
2458,181,428,73,919464
2459,49,17,14,48818
2460,80,32,13,81671
2461,29,6,9,16275
2462,46,14,13,37184
2463,161,164,30,363560
2464,227,117,21,289043
2465,111,47,18,122930
2466,73,29,20,81776
2467,32,10,14,30569
2468,131,44,14,114842
2469,29,6,12,17493
2470,227,252,46,585161
2471,91,66,28,168765
2472,125,68,21,182169
2473,27,6,10,17118
2474,39,17,15,45967
2475,1,0,1,65
2476,93,34,14,87615
2477,105,109,38,264566
2478,105,44,16,116377
2479,17,3,8,8369
2480,64,63,34,168638
2481,250,425,62,970187
2482,247,146,20,354072
2483,24,6,10,16549
2484,102,39,13,95552
2485,174,78,17,191087
2486,106,53,20,139272
2487,205,141,27,358723
2488,154,115,26,285264
2489,73,55,29,145340
2490,236,350,54,828205
2491,210,117,22,284989
2492,217,116,19,280780
2493,12,2,7,5993
2494,59,20,16,56387
2495,126,51,15,128760
2496,49,13,14,38723
2497,167,95,24,244708
2498,168,244,60,555288
2499,222,93,16,230698
2500,129,57,17,150813
2501,1,0,1,65
2502,96,70,28,176062
2503,113,47,16,125969
2504,168,166,41,406381
2505,142,162,40,395940
2506,210,97,17,233486
2507,91,56,24,145369
2508,152,68,20,168996
2509,2,0,1,129
2510,1,1,1,65
2511,86,34,15,88358
2512,200,118,19,293862
2513,19,4,11,13630
2514,22,6,17,16603
2515,219,162,28,399402
2516,68,21,13,59408
2517,117,55,17,147542
2518,154,84,21,208237
2519,1,0,1,65
2520,239,100,16,251052
2521,193,70,15,175710
2522,110,52,21,129225
2523,1,0,1,65
2524,138,64,16,160168
2525,204,91,18,234213
2526,14,2,6,4849
2527,40,11,16,30803
2528,92,47,26,121448
2529,176,74,16,189595
2530,56,23,17,64523
2531,234,94,17,234625
2532,139,55,17,135064
2533,71,27,17,75654
