Index,NumStates, TimeTaken(ms),EquivalenceQueries, MembershipQueries
2113,213,722,3,20923
2114,103,332,3,9315
2115,27,52,4,1430
2116,187,700,4,22875
2117,216,2038,7,41568
2118,36,69,6,3285
2119,43,57,2,2175
2120,23,22,2,846
2121,174,2258,13,46417
2122,226,1921,5,39411
2123,44,58,4,2314
2124,228,671,2,18737
2125,173,3337,7,34700
2126,162,411,3,13325
2127,202,469,2,13770
2128,232,648,3,19065
2129,187,503,2,12375
2130,133,280,2,7476
2131,84,534,12,14365
2132,122,223,2,7105
2133,135,346,4,11924
2134,28,23,3,969
2135,12,7,4,350
2136,52,83,4,4200
2137,246,1031,6,37961
2138,113,255,2,7491
2139,141,201,2,7924
2140,112,238,2,6075
2141,49,55,3,2475
2142,217,601,3,22185
2143,239,1433,4,32572
2144,143,371,4,14637
2145,116,243,3,6990
2146,123,337,3,9386
2147,162,553,3,15925
2148,167,525,3,17755
2149,91,244,4,7503
2150,33,39,3,1809
2151,46,76,5,3441
2152,197,702,3,17775
2153,158,597,2,12997
2154,57,190,4,4600
2155,144,349,2,11271
2156,187,722,4,22125
2157,211,586,2,18189
2158,213,462,2,14945
2159,134,238,3,10491
2160,157,377,2,9765
2161,86,170,2,6228
2162,208,1020,5,25854
2163,100,532,7,14874
2164,126,389,4,10373
2165,62,298,9,9250
2166,116,271,3,8621
2167,95,212,3,8404
2168,93,450,3,8789
2169,234,650,3,18760
2170,48,56,2,1940
2171,29,35,3,826
2172,34,56,4,2208
2173,148,296,2,10098
2174,53,71,3,3210
2175,187,1791,12,47250
2176,7,4,3,150
2177,212,424,2,14450
2178,103,275,3,8901
2179,208,769,4,20433
2180,74,369,7,8791
2181,198,526,2,13498
2182,75,170,2,4228
2183,45,40,3,2821
2184,209,1322,9,47766
2185,30,47,4,1464
2186,19,18,3,819
2187,19,26,7,1326
2188,81,111,2,4727
2189,56,93,3,3164
2190,101,227,3,5684
2191,34,30,3,1380
2192,219,648,4,24584
2193,98,239,3,7289
2194,79,134,3,4770
2195,47,60,2,2090
2196,132,290,3,10070
2197,57,76,6,6325
2198,109,234,2,5694
2199,47,115,4,4085
2200,104,313,3,8778
2201,136,272,4,11739
2202,35,77,7,3053
2203,198,422,2,15086
2204,61,236,7,7134
2205,85,140,2,5130
2206,28,52,4,2109
2207,165,439,2,10592
2208,146,361,3,12306
2209,114,668,8,19465
2210,232,845,4,26505
2211,64,198,5,5547
2212,203,499,4,19129
2213,35,38,2,1349
2214,111,235,2,6913
2215,212,591,3,16575
2216,184,695,3,21033
2217,61,74,2,2706
2218,49,83,4,3564
2219,53,133,6,4601
2220,111,186,3,7582
2221,230,1983,6,40568
2222,217,918,3,23490
2223,56,88,3,3503
2224,37,112,2,1875
2225,43,46,3,2262
2226,90,171,3,5611
2227,174,706,3,20940
2228,157,1466,12,39690
2229,119,224,3,10755
2230,76,158,4,5355
2231,180,1208,4,23826
2232,51,68,3,2369
2233,199,449,2,11970
2234,35,70,6,2769
2235,227,579,2,16380
2236,52,71,3,3780
2237,191,402,2,11490
2238,1,0,1,3
2239,116,1122,12,26795
2240,129,262,3,8029
2241,143,437,5,13776
2242,121,264,2,8019
2243,32,42,2,1430
2244,161,962,9,25517
2245,60,90,3,3388
2246,214,536,5,27885
2247,84,209,4,8112
2248,108,348,5,11718
2249,126,337,3,9108
2250,167,1146,9,33165
2251,38,59,2,1925
2252,163,498,5,19620
2253,92,500,8,12580
2254,16,11,3,660
2255,89,165,2,5191
2256,147,557,4,13275
2257,155,912,5,21459
2258,155,451,3,14928
2259,28,32,4,1368
2260,62,101,5,5500
2261,186,504,3,13801
2262,205,539,2,13152
2263,60,217,7,6171
2264,53,141,3,3103
2265,166,481,2,12654
2266,42,94,8,3995
2267,85,170,3,4617
2268,156,737,7,24101
2269,193,564,3,15867
2270,152,376,3,8845
2271,180,644,2,14440
2272,59,118,2,3689
2273,20,16,4,697
2274,91,196,3,5856
2275,196,629,4,22008
2276,207,684,3,22825
2277,219,475,2,14487
2278,149,843,11,26611
2279,110,213,2,7735
2280,121,1116,9,25758
2281,71,116,2,4004
2282,116,309,4,9087
2283,94,164,2,5292
2284,29,27,3,1239
2285,50,83,3,2424
2286,121,239,2,7776
2287,197,460,3,18170
2288,50,113,7,5353
2289,59,109,5,5236
2290,29,35,3,1180
2291,161,361,3,13889
2292,55,103,2,2664
2293,196,687,2,15720
2294,57,118,3,3565
2295,18,14,3,777
2296,173,511,2,11451
2297,110,192,3,7072
2298,46,40,2,1767
